idx,sentence,label,fp32_pred,int8_pred,fp32_correct,int8_correct,flipped,fp32_logit_0,fp32_logit_1,int8_logit_0,int8_logit_1,fp32_margin,int8_margin,abs_logit0_diff,abs_logit1_diff
0,it 's a charming and often affecting journey . ,1,1,1,True,True,False,-2.822558641433716,2.646517753601074,-2.791309356689453,2.6403212547302246,5.46907639503479,5.431630611419678,0.031249284744262695,0.006196498870849609
1,unflinchingly bleak and desperate ,0,0,0,True,True,False,0.9449020028114319,-0.9612434506416321,1.3215612173080444,-1.2739239931106567,1.906145453453064,2.595485210418701,0.37665921449661255,0.31268054246902466
2,allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . ,1,1,1,True,True,False,-2.3611271381378174,2.293992042541504,-2.058605670928955,1.9662638902664185,4.655119180679321,4.0248695611953735,0.3025214672088623,0.32772815227508545
3,"the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . ",1,1,1,True,True,False,-2.0919790267944336,2.0390102863311768,-1.8912447690963745,1.853105902671814,4.13098931312561,3.7443506717681885,0.20073425769805908,0.1859043836593628
4,"it 's slow -- very , very slow . ",0,0,0,True,True,False,2.3064754009246826,-2.1191718578338623,2.0440304279327393,-1.9186699390411377,4.425647258758545,3.962700366973877,0.26244497299194336,0.2005019187927246
5,"although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . ",1,1,1,True,True,False,-2.692023992538452,2.5058882236480713,-2.578490972518921,2.453321695327759,5.197912216186523,5.03181266784668,0.11353302001953125,0.0525665283203125
6,a sometimes tedious film . ,0,0,0,True,True,False,2.3986709117889404,-2.1854329109191895,2.017139434814453,-1.88507080078125,4.58410382270813,3.902210235595703,0.3815314769744873,0.30036211013793945
7,or doing last year 's taxes with your ex-wife . ,0,0,0,True,True,False,1.0163286924362183,-0.9395639896392822,0.9429849982261658,-0.9117269515991211,1.9558926820755005,1.8547119498252869,0.07334369421005249,0.027837038040161133
8,you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . ,1,1,1,True,True,False,-1.1906496286392212,1.070501685142517,-1.2716418504714966,1.1683725118637085,2.2611513137817383,2.440014362335205,0.08099222183227539,0.0978708267211914
9,"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ",0,0,0,True,True,False,1.6092826128005981,-1.6350939273834229,1.0956180095672607,-1.1903499364852905,3.244376540184021,2.2859679460525513,0.5136646032333374,0.4447439908981323
10,the mesmerizing performances of the leads keep the film grounded and keep the audience riveted . ,1,1,1,True,True,False,-2.639286756515503,2.487260580062866,-2.561716079711914,2.441844940185547,5.126547336578369,5.003561019897461,0.07757067680358887,0.045415639877319336
11,"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ",0,0,0,True,True,False,2.134787082672119,-1.9437141418457031,0.9225184321403503,-0.8535947203636169,4.078501224517822,1.7761131525039673,1.2122686505317688,1.0901194214820862
12,... the film suffers from a lack of humor ( something needed to balance out the violence ) ... ,0,0,0,True,True,False,1.6974797248840332,-1.596319317817688,1.5480557680130005,-1.4874131679534912,3.293799042701721,3.0354689359664917,0.14942395687103271,0.10890614986419678
13,"we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ",1,1,1,True,True,False,-0.24057930707931519,-0.0019018433522433043,-0.19245558977127075,0.0644388422369957,0.23867746372707188,0.25689443200826645,0.048123717308044434,0.066340685589239
14,even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . ,0,0,0,True,True,False,2.4615657329559326,-2.148547649383545,2.1367626190185547,-1.8908843994140625,4.6101133823394775,4.027647018432617,0.32480311393737793,0.2576632499694824
15,"a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama . ",1,1,1,True,True,False,-2.787400007247925,2.623614549636841,-2.6305015087127686,2.56557035446167,5.411014556884766,5.1960718631744385,0.15689849853515625,0.0580441951751709
16,the emotions are raw and will strike a nerve with anyone who 's ever had family trauma . ,1,1,1,True,True,False,-2.386028528213501,2.226013422012329,-2.202399253845215,2.050429105758667,4.61204195022583,4.252828359603882,0.18362927436828613,0.1755843162536621
17,"audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . ",1,1,1,True,True,False,-2.433976650238037,2.2769267559051514,-2.2392194271087646,2.1171839237213135,4.7109034061431885,4.356403350830078,0.19475722312927246,0.1597428321838379
