idx,sentence,label,fp32_pred,int8_pred,fp32_correct,int8_correct,flipped,fp32_logit_0,fp32_logit_1,int8_logit_0,int8_logit_1,fp32_margin,int8_margin,abs_logit0_diff,abs_logit1_diff
0,it 's a charming and often affecting journey . ,1,1,1,True,True,False,-2.4212424755096436,2.5975430011749268,-2.2933058738708496,2.5168280601501465,5.01878547668457,4.810133934020996,0.12793660163879395,0.08071494102478027
1,unflinchingly bleak and desperate ,0,0,0,True,True,False,1.5318197011947632,-1.3509788513183594,1.6005672216415405,-1.4338520765304565,2.8827985525131226,3.034419298171997,0.06874752044677734,0.08287322521209717
2,allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . ,1,1,1,True,True,False,-2.1233105659484863,2.098247528076172,-1.7465907335281372,1.7228748798370361,4.221558094024658,3.4694656133651733,0.3767198324203491,0.37537264823913574
3,"the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . ",1,1,1,True,True,False,-0.9712783694267273,0.9401117563247681,-0.7828727960586548,0.7140015363693237,1.9113901257514954,1.4968743324279785,0.1884055733680725,0.22611021995544434
4,"it 's slow -- very , very slow . ",0,0,0,True,True,False,1.9710055589675903,-1.881108283996582,1.8996397256851196,-1.8024955987930298,3.8521138429641724,3.7021353244781494,0.0713658332824707,0.07861268520355225
5,"although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . ",1,1,1,True,True,False,-2.353027582168579,2.4287612438201904,-2.203303098678589,2.253127098083496,4.7817888259887695,4.456430196762085,0.14972448348999023,0.17563414573669434
6,a sometimes tedious film . ,0,0,0,True,True,False,1.8159043788909912,-1.7621427774429321,1.3799688816070557,-1.3180222511291504,3.5780471563339233,2.697991132736206,0.43593549728393555,0.44412052631378174
7,or doing last year 's taxes with your ex-wife . ,0,0,0,True,True,False,1.3952751159667969,-1.2655473947525024,1.1429396867752075,-1.0253835916519165,2.6608225107192993,2.168323278427124,0.25233542919158936,0.24016380310058594
8,you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . ,1,1,1,True,True,False,-1.9008026123046875,1.9373924732208252,-1.0653258562088013,1.126990795135498,3.8381950855255127,2.1923166513442993,0.8354767560958862,0.8104016780853271
9,"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ",0,0,0,True,True,False,1.4478603601455688,-1.23019540309906,0.9479703903198242,-0.7109134793281555,2.678055763244629,1.6588838696479797,0.49988996982574463,0.5192819237709045
10,the mesmerizing performances of the leads keep the film grounded and keep the audience riveted . ,1,1,1,True,True,False,-2.205517530441284,2.275684356689453,-1.6462247371673584,1.6391575336456299,4.481201887130737,3.2853822708129883,0.5592927932739258,0.6365268230438232
